LON_LAT,frname,dist_to_rivers,dist_to_railway,dist_to_roads,elevation
102.5 52.0,Усольское,3.7501183202,80.8923724361,24.3761444956,936.5
102.5 52.5,Черемховское,6.1397401056,46.8467658134,6.0653211329,487.0
102.5 53.0,Черемховское,2.5993447797,37.2054086322,5.0131171399,459.8125
103.0 51.5,Слюдянское,5.7010676533,32.5439084028,3.924637817,709.0
103.0 52.0,Усольское,20.0652711163,58.3265384403,10.9718900317,724.1304347826
103.0 52.5,Сосновское военное,10.0615726219,24.9810357217,7.3868970083,488.5
103.0 52.5,Усольское,11.2808030645,45.5199881542,6.8086137374,579.9076923077
103.0 52.5,Черемховское,9.5725959481,38.1826755801,6.6895760337,469.7333333333
103.0 53.0,Сосновское военное,5.5081015957,22.3569036712,4.4109043095,466.2
103.0 53.0,Усольское,4.4637006127,15.8651349087,1.4717583371,465.5806451613
103.0 53.0,Черемховское,15.2608341608,12.5360931371,1.502904348,520.6595744681
103.0 53.5,Черемховское,39.8654893966,9.6981913015,2.0943930216,523.4
103.5 51.5,Слюдянское,18.3180527856,4.3820752297,2.4848847778,681.4117647059
103.5 52.0,Слюдянское,1.7106667762,26.7489908458,5.180547332,838.1
103.5 52.0,Усольское,21.318241849,39.570418929,11.4108335709,726.6818181818
103.5 52.0,Шелеховское,5.5796376934000005,17.1859994131,12.2153191593,778.0769230769
103.5 52.5,Кировское,9.0813365317,9.805041544,1.440838758,458.0
103.5 52.5,Сосновское военное,12.5441718382,16.1357525587,0.7962232781,514.0
103.5 52.5,Усольское,9.9018063188,19.3117304969,2.0800304934,483.6322869955
103.5 53.0,Кировское,15.6694676079,20.9341963028,1.5668546674,510.7642276423
103.5 53.0,Сосновское военное,6.6683494601,8.775184317,1.336699877,466.5
103.5 53.0,Усольское,3.8758962022,4.8578923589,1.2475479901,439.9481132075
103.5 53.0,Черемховское,17.4928681812,8.7072050792,1.0311363843,490.8550724638
103.5 53.5,Аларское,37.5009379752,20.6411622867,2.0573744738,458.0
103.5 53.5,Кировское,18.9069951855,40.2510949059,3.2908822636,553.0714285714
103.5 53.5,Осинское,15.4760111501,59.3582342623,1.3338036173,465.7746478873
103.5 53.5,Усть-Удинское,26.776124537,58.5196035573,5.0171355107,512.0
103.5 53.5,Черемховское,36.7288279429,20.5315234233,1.6868026246,467.0
103.5 54.0,Осинское,10.1385988849,75.0159755802,6.9956085513,636.125
104.0 51.5,Прибайкальский НП,20.8560948471,2.6356152222,5.8952460317,729.5
104.0 51.5,Слюдянское,28.4472898802,19.3401570628,20.4778171233,1136.6
104.0 52.0,Иркутское,8.0123624891,5.5974442149,2.1564208586999998,515.9130434783
104.0 52.0,Прибайкальский НП,25.4236823423,10.7299122879,11.1630117486,814.5
104.0 52.0,Слюдянское,15.8908431694,2.6786383471,3.1210674307,890.0
104.0 52.0,Шелеховское,8.4999042794,5.2055788713,1.7548640706,584.5789473684
104.0 52.0,Шелеховское военное,8.224829097,18.6660661605,6.1848218515,550.6666666667
104.0 52.5,Иркутское,6.5956782612,9.7750548233,1.719193471,480.880866426
104.0 52.5,Кировское,4.8620039464,10.2481425471,2.9848910598,518.85
104.0 52.5,Усольское,4.4131876892,6.2948850269,1.2689298395,437.0625
104.0 52.5,Шелеховское,3.5627020561,10.3328637582,1.3167588453999999,491.75
104.0 52.5,Шелеховское военное,7.1136892021,16.0452737613,5.2855123297,514.0
104.0 53.0,Иркутское,25.6153970914,33.7450547058,3.8433053053,563.8416666667
104.0 53.0,Кировское,18.0344690045,34.9738972715,2.4951638039,550.0295857988
104.0 53.5,Кировское,11.9698679852,54.2391187965,3.6190978773999998,661.8125
104.0 53.5,Осинское,8.7277380218,68.6602567336,1.9548546611000002,529.0490797546
104.0 54.0,Осинское,14.4918808696,98.9127543059,9.6458438809,663.5
104.5 51.5,Слюдянское,2.9725051787,2.6574013599,2.669449485,564.6666666667
104.5 52.0,Ангарское,25.6829504039,31.4812546574,2.9064217194,545.95
104.5 52.0,Иркутское,19.6697371886,15.652599327,3.458730607,536.1612903226
104.5 52.5,Ангарское,19.2290995131,24.5090727454,2.7524220491999998,537.75
104.5 52.5,Иркутское,7.6560461151,25.1005327137,1.8180200849,514.2418604651
104.5 52.5,Усть-Ордынское,6.3319193311,46.1529590111,1.3105617792,545.4615384615
104.5 53.0,Иркутское,25.4289419854,45.4742417405,2.8165929172,612.512195122
104.5 53.0,Кировское,24.5572323281,66.8119375388,1.4445599468,591.6896551724
104.5 53.0,Усть-Ордынское,17.0418728817,58.9089202994,2.4993238664,643.1666666667
104.5 53.5,Качугское,10.7325979718,113.7692185434,26.5916325783,880.5
104.5 53.5,Кировское,18.9860788249,86.3471401368,4.9568603215,775.8125
104.5 53.5,Осинское,5.6825417208,89.3070810654,8.6776410482,688.9130434783
104.5 54.0,Жигаловское,9.7378038805,119.9595172028,26.617388194,926.0
104.5 54.0,Качугское,1.6843945927,123.7313992073,35.6902770028,757.0
104.5 54.0,Осинское,17.5632174683,110.8871560546,18.2010710219,750.9230769231
105.0 52.0,Ангарское,41.5085556217,47.3991610854,8.2067017819,738.6666666667
105.0 52.0,Голоустненское,58.0124862598,63.9209362983,7.5561894593,801.6666666667
105.0 52.0,Прибайкальский НП,50.046806011,44.5950212455,6.5755350385,754.0
105.0 52.5,Ангарское,40.6682067271,46.9215588088,2.5805516616,728.6666666667
105.0 52.5,Голоустненское,48.0045420345,63.0774977351,4.8987931291,885.7272727273
105.0 52.5,Усть-Ордынское,14.4293644691,63.0415623527,8.2895405884,640.1960784314
105.0 53.0,Баяндаевское,13.0054381108,95.542634931,1.6597883044000001,743.5714285714
105.0 53.0,Усть-Ордынское,5.8673740952,83.6721360404,2.5992024774,677.5714285714
105.0 53.5,Баяндаевское,3.1534504734,131.8209009932,18.1200143986,880.0
105.0 53.5,Качугское,6.9171276071,135.3621735064,15.0394191669,843.1666666667
105.0 53.5,Усть-Ордынское,4.2119992603,107.6922565846,4.529379888,814.3333333333
105.0 54.0,Качугское,15.8563880209,172.8465388897,15.3926954727,876.625
105.5 52.0,Голоустненское,63.5004510097,64.3993909256,1.5354979234,686.0
105.5 52.0,Прибайкальский НП,58.772608284,52.303345744,5.8455936393,748.1111111111
105.5 52.5,Голоустненское,49.3800977721,72.0841682193,11.7619705479,767.652173913
105.5 52.5,Ольхонское,37.5622268373,82.9705260875,9.3113855498,748.0
105.5 52.5,Прибайкальский НП,40.7692311835,53.6803633261,21.588673596,1038.0
105.5 52.5,Усть-Ордынское,19.4018836998,89.9596917405,18.0286874708,727.625
105.5 53.0,Баяндаевское,8.754386071,113.9774855239,2.7169627103,745.8846153846
105.5 53.0,Усть-Ордынское,15.7108330053,99.419786695,15.3814278105,752.6666666667
105.5 53.5,Баяндаевское,15.3990971826,143.9105997646,7.9526444266,830.7083333333
105.5 53.5,Качугское,12.6409758226,152.6216491752,12.1811031376,917.4117647059
105.5 53.5,Усть-Ордынское,3.4567585037,126.6368833911,12.7905642335,812.5
105.5 54.0,Качугское,6.5506757265,182.8757969816,6.7742674679,682.8947368421
105.5 54.5,Качугское,4.3787821338,206.4723525744,12.1518874397,781.875
106.0 52.5,Ольхонское,28.7846297101,82.0204720156,3.9393209494,793.6666666667
106.0 52.5,Прибайкальский НП,30.2937223775,67.0346729651,6.0865842812,825.3333333333
106.0 53.0,Баяндаевское,12.0620974229,132.1059597491,2.5251973669,712.5714285714
106.0 53.0,Ольхонское,10.7120319038,103.6381474106,3.6701980527,770.6666666667
106.0 53.5,Баяндаевское,6.782950561,155.6173057057,2.4574671342,667.8
106.0 53.5,Качугское,5.9092277753,172.3661527478,3.7722222523999998,654.2575757576
106.0 54.0,Качугское,4.0529031334,203.7339636128,2.601207774,570.9772727273
106.0 54.5,Качугское,8.1592105795,208.5106634064,25.9537387774,861.5
106.5 52.5,Прибайкальский НП,19.5521636032,75.0213364435,6.5518834428,744.0
106.5 53.0,Ольхонское,1.2967195266,110.6788362575,12.022508393,803.3076923077
106.5 53.0,Прибайкальский НП,11.336307582,99.9155727721,1.9660813028000002,733.4
106.5 53.5,Качугское,18.6986728217,178.7224944787,10.4132529373,681.75
106.5 54.0,Качугское,6.0635198268,205.5981039211,5.8445547688,659.4923076923
106.5 54.5,Качугское,16.9074517035,178.5697136623,19.6298705966,786.4230769231
106.5 55.0,Казачинско-Ленское,6.0587150051,105.3771135184,22.3186881701,807.0
106.5 55.0,Качугское,25.2874977485,152.5330302676,38.0051844282,910.8333333333
106.5 55.5,Жигаловское,9.4063290255,95.8812676932,28.2437366743,1198.5
106.5 55.5,Казачинско-Ленское,9.9525730381,93.6736582775,24.6014704584,1094.0
107.0 53.0,Прибайкальский НП,24.0867586592,113.4225425524,1.9558161232,685.25
107.0 53.5,Качугское,34.522408532,159.5643123832,20.1873521148,1001.8857142857
107.0 53.5,Ольхонское,28.4970626869,142.9124050155,19.0873184821,1077.5
107.0 53.5,Прибайкальский НП,49.9115277819,138.6132564682,3.2023994117,1091.5
107.0 54.0,Байкало-Ленский ЗП,3.0095588616,200.1702681994,39.7052492823,820.2
107.0 54.0,Качугское,5.075381422,196.5584235943,24.1860832558,765.0256410256
107.0 54.5,Качугское,14.0309400142,159.9034043736,26.0929656753,757.7037037037
107.0 55.0,Казачинско-Ленское,9.9844362263,106.9861167341,12.763122857799999,745.6842105263
107.0 55.0,Качугское,12.4806282477,127.0404436985,33.2423710627,766.8333333333
107.0 55.5,Жигаловское,12.5766721461,72.2358920719,26.5514787861,1046.0
107.0 55.5,Казачинско-Ленское,7.1035821429,73.0729813672,17.9086988793,891.3714285714
107.0 56.0,Казачинско-Ленское,3.3008424064,38.7177803053,12.5664874679,773.7272727273
107.5 53.0,Прибайкальский НП,51.5549794622,115.4191014869,7.7379605319,818.0909090909
107.5 53.5,Качугское,35.8992917273,169.1444759421,7.612135436,1193.0
107.5 53.5,Прибайкальский НП,44.1634273295,157.375329096,2.5801100598,722.9333333333
107.5 54.0,Байкало-Ленский ЗП,7.424535755,193.6214483421,38.6192025759,903.6470588235
107.5 54.0,Качугское,16.596401417,188.1798056427,23.1906398473,1050.6666666667
107.5 54.5,Байкало-Ленский ЗП,16.5108392279,154.5206687426,52.3443917274,926.375
107.5 54.5,Качугское,6.6711561552,143.4389285037,40.915959166,726.2307692308
107.5 55.0,Казачинско-Ленское,4.3921509462,84.0989388899,5.3783598082,608.92
107.5 55.0,Качугское,7.6105257902,108.5295177832,31.849923788,695.0869565217
107.5 55.5,Казачинско-Ленское,11.9434503054,49.4566610802,11.600916695,660.1777777778
107.5 56.0,Казачинско-Ленское,7.2386538248,7.0646051178,3.2105863325,453.6888888889
107.5 56.5,Казачинско-Ленское,0.7034401840000001,12.7991001525,1.1051889075,392.5
108.0 54.0,Байкало-Ленский ЗП,12.7990877965,191.1926139776,29.4569875098,1092.875
108.0 54.5,Байкало-Ленский ЗП,11.8904931876,139.6603762915,70.8998327761,992.625
108.0 54.5,Качугское,6.0268617425,119.062138658,47.9416414422,830.0
108.0 55.0,Казачинско-Ленское,7.3962736855,79.5384573984,20.8661797509,711.3333333333
108.0 55.0,Качугское,2.1480326209,107.944037791,41.988899809,779.6
108.0 55.5,Казачинско-Ленское,2.1757852799,35.8492193595,20.4850208278,572.0
108.0 56.0,Казачинско-Ленское,5.1542172471,10.94237812,8.897217339800001,518.6216216216
108.5 54.5,Байкало-Ленский ЗП,5.6796930629,134.0279004222,85.5169181479,1066.2
108.5 55.0,Казачинско-Ленское,5.5991414703,100.534424597,59.8907957839,956.4545454545
108.5 55.5,Казачинско-Ленское,23.8965247925,22.7629089895,22.2203644569,795.2916666667
108.5 56.0,Казачинско-Ленское,12.6376827257,23.710938051,21.8743450671,786.1875
108.5 56.5,Казачинско-Ленское,20.8795858249,56.5048330254,36.7637606376,1119.0
109.0 56.0,Казачинско-Ленское,18.4132045856,7.7575786415,7.2930109787,830.0